ID,Normlized Log2 (Validated Score),AI Score Classification
seq_1,12.15,High
seq_2,14.32,High
seq_3,7.45,High
seq_4,13.07,High
seq_5,12.88,High
seq_6,9.0,High
seq_7,11.69,High
seq_8,12.93,High
seq_9,10.36,High
seq_10,11.61,High
seq_11,13.12,High
seq_12,8.85,High
seq_13,9.17,High
seq_14,5.79,High
seq_15,7.25,High
seq_16,11.39,High
seq_17,9.12,High
seq_18,8.09,High
seq_19,9.02,High
seq_20,7.65,High
seq_21,4.92,High
seq_22,13.54,High
seq_23,9.16,High
seq_24,9.91,High
seq_25,10.2,High
seq_26,10.41,High
seq_27,9.43,High
seq_28,4.79,High
seq_29,5.77,High
seq_30,12.1,High
seq_31,19.65,High
seq_32,8.21,High
seq_33,4.37,High
seq_34,4.61,High
seq_35,6.95,High
seq_36,4.04,High
seq_37,12.22,High
seq_38,3.41,Low
seq_39,0.0,Low
seq_40,0.0,Low
seq_41,0.4507143064099161,Low
seq_42,0.2319939418114051,Low
seq_43,0.0986584841970366,Low
seq_44,0.0,Low
seq_45,0.0,Low
seq_46,0.0,Low
seq_47,0.3661761457749352,Low
seq_48,0.1011150117432088,Low
seq_49,0.2080725777960455,Low
seq_50,0.0,Low
seq_51,0.4699098521619943,Low
seq_52,0.3324426408004217,Low
