ID,Log2 (Validated Score),Log2 (AI Score)
seq_1,-0.0221823144388122,-0.12445951
seq_2,2.234849795938855,1.8724002
seq_3,1.3122161384465032,1.6182847
seq_4,-0.213923842388353,-0.030681588
seq_5,-0.2072006911131232,-0.08932809
seq_6,0.0082945286911567,-0.1363841
seq_7,1.0002038807523164,1.1614505
seq_8,-0.3010704289510436,0.08918797
seq_9,1.2675453303746391,1.2400107
seq_10,-0.0373122030718402,-0.07139564
seq_11,0.0456096541773952,0.052734546
seq_12,3.2122380489984845,2.435534
seq_13,-0.3755451582644988,-0.15074983
seq_14,-0.2735494754143469,-0.1803562
seq_15,-0.073403413440342,-0.14166546
seq_16,0.0306734688532358,-0.16503084
seq_17,2.43364635452754,1.9647865
seq_18,-0.0736049858837662,-0.18040323
seq_19,1.6203971476666856,1.7190933
seq_20,-0.0890852480458458,-0.14911208
seq_21,-0.194866369162054,-0.17765865
seq_22,0.0478579418639393,-0.15267158
seq_23,-0.2208885831559373,-0.053777732
seq_24,-0.2629591631635826,0.0031848475
seq_25,0.8054962284923768,1.2645292
seq_26,1.692410232068827,1.7233905
seq_27,1.452033372154454,1.6121874
seq_28,0.3608759953624102,-0.06685389
seq_29,-0.5617539423011958,-0.16109401
seq_30,2.0006277553838103,1.5473912
seq_31,-0.0173689460244398,-0.04142434
seq_32,-0.3358447903302485,-0.1863622
seq_33,-0.0256513835458472,-0.27866444
seq_34,-0.4030885160183221,-0.09102959
seq_35,-0.5065723357599106,0.0040672943
seq_36,-0.1059151031100662,-0.0149017945
seq_37,-0.3341842995748969,-0.16231105
seq_38,-0.3611488613088407,-0.11582873
seq_39,-0.1791255155382,-0.07023794
seq_40,1.8653212306284608,2.0398927
seq_41,-0.4062117400259683,-0.33689606
seq_42,0.780370238721735,0.0790255
seq_43,0.17959828208871,-0.02253104
seq_44,2.069115780379222,2.5447707
seq_45,2.1338262823241765,1.7671587
seq_46,-0.4200355432476798,-0.3253036
seq_47,-0.0533860734311668,0.114696525
seq_48,-0.332265799814958,-0.35846198
seq_49,-0.4982274838898809,-0.26814362
seq_50,-0.3795191293302483,-0.32448927
seq_51,0.126679966957213,-0.2634809
seq_52,-0.1258684494097602,-0.14356214
seq_53,-0.1436481813883527,-0.33743763
seq_54,-0.0134861909219934,-0.35326493
seq_55,-0.1781703618134285,-0.46622783
seq_56,-0.177088979064194,-0.1785107
seq_57,0.8198821242095037,1.1129118
seq_58,-0.819448465400584,-0.7215373
seq_59,-0.1516843890917172,-0.18192124
seq_60,0.1663717621345812,-0.17063409
seq_61,-0.1262260736956935,-0.1245865
seq_62,0.2128040150275467,-0.016864724
seq_63,0.2316637699143976,-0.2561223
seq_64,0.1303254707737243,-0.16048956
seq_65,2.783167681593288,2.4412246
seq_66,-0.546758922587128,-0.3959998
seq_67,-0.3386574564449279,-0.12800258
seq_68,0.0261806468777009,-0.10172243
seq_69,-0.6409316611696972,-0.524075
seq_70,-1.1800628369112849,-0.6948479
seq_71,0.8356067863853436,1.567309
seq_72,1.4937984976406926,1.802605
seq_73,-0.1623734520748975,-0.16163877
seq_74,-0.506404857203337,-0.22361997
seq_75,1.7196282184296825,1.135604
seq_76,0.1025315617798422,-0.047923513
seq_77,-0.0421105578959995,-0.07805953
seq_78,-0.33338176187612,-0.21365196
seq_79,-0.2677787499418687,0.06739818
seq_80,1.1080259492813664,1.1102755
seq_81,-0.944520249917403,-0.8478214
seq_82,0.7639094751437547,0.8105792
seq_83,-0.5817510702369761,-0.24358523
seq_84,-0.1220431675336129,-0.2612611
seq_85,-0.9440665188990548,-0.40811673
seq_86,-0.5981388168149573,-0.4815628
seq_87,0.3092985661009413,-0.2738738
seq_88,-0.3684485940810132,-0.20954171
seq_89,-0.1361869156008916,-0.09214897
seq_90,1.32034907258259,1.7789612
seq_91,0.0059100612752545,-0.21412808
seq_92,-0.2242674953440101,-0.012867786
seq_93,1.8465860707798345,1.8440282
seq_94,-0.0457398939663353,0.0026827082
seq_95,-0.0585798550672531,-0.26520574
seq_96,-0.1492619792797894,0.20141152
seq_97,0.0809794647477322,0.5630563
seq_98,1.8293970749342687,1.6475952
seq_99,1.8347811408471133,1.7913134
seq_100,1.3042556588807543,1.4636368
seq_101,0.3599086497584337,-0.17385557
seq_102,0.0951567709235731,-0.34537333
